runtime,cpu_usage,memory
91.06,562%,166736
89.01,599%,166784
89.99,595%,166736
94.34,567%,166236
89.18,597%,166252
90.47,599%,166652
89.13,599%,166168
89.46,599%,166188
90.24,597%,166816
95.05,584%,166696
90.04,599%,166248
89.81,598%,166696
89.81,598%,166236
90.33,642%,166252
89.45,600%,166076
89.40,600%,166308
91.28,586%,166732
90.30,595%,166252
91.11,583%,166768
89.82,598%,166632
90.74,600%,166228
90.23,595%,166416
90.91,597%,166228
94.07,566%,166560
90.49,601%,166284
90.42,598%,166168
89.72,599%,166232
89.44,597%,166248
89.54,598%,166576
94.51,567%,166648
91.35,600%,166652
90.90,598%,166240
91.30,599%,166452
91.12,596%,166688
90.67,598%,166152
89.29,600%,166764
89.58,598%,166236
89.47,597%,166696
97.63,595%,166512
90.31,604%,166564
90.95,599%,166648
94.81,606%,166772
93.72,590%,166360
94.81,570%,166636
91.98,596%,166636
95.99,560%,166648
91.73,594%,166228
90.41,606%,166252
90.10,603%,166700
90.75,597%,166816
98.18,595%,166236
97.30,625%,166088
93.08,577%,166368
92.03,593%,166652
100.97,575%,166700
92.84,586%,166700
90.93,624%,166648
91.59,603%,166156
93.21,574%,166256
91.06,598%,166296
89.41,597%,166656
91.65,595%,166768
91.06,599%,166704
91.58,600%,166652
89.79,599%,166120
89.43,598%,166236
91.33,592%,166648
91.21,588%,166520
95.07,566%,166200
98.46,585%,166200
90.59,599%,166104
90.88,598%,166776
89.46,597%,166528
89.69,599%,166648
95.38,566%,166696
91.53,601%,166204
89.54,595%,166236
89.90,599%,166084
90.91,598%,166200
94.91,607%,166236
98.78,584%,166116
96.91,566%,166120
90.76,598%,166216
91.19,600%,166156
89.34,598%,166696
89.54,596%,166108
98.93,595%,166700
94.12,571%,166636
99.54,590%,166764
90.64,596%,166648
94.13,586%,166648
90.60,593%,166216
95.37,567%,166224
91.14,598%,166644
89.64,597%,166228
94.04,597%,166768
90.81,621%,166356
90.69,597%,166252
94.06,601%,166236
91.36,625%,166340
