runtime,cpu_usage,memory
224.84,799%,93952
224.22,799%,93824
224.21,799%,93952
224.40,799%,93824
225.25,799%,93952
225.52,799%,93696
227.88,799%,93824
224.25,799%,94080
224.61,799%,93952
225.29,799%,93824
225.46,799%,93824
225.95,799%,93824
225.81,799%,93824
225.61,799%,93824
225.80,799%,93696
225.19,799%,93696
225.50,799%,93568
226.15,799%,93568
225.48,799%,93696
225.66,799%,93824
225.20,799%,93696
227.29,799%,93952
225.50,799%,93824
225.49,799%,93952
224.93,799%,94080
224.94,799%,93824
224.95,799%,93952
230.44,799%,94080
224.36,799%,93824
225.94,799%,93824
226.25,799%,94080
224.58,799%,93952
230.70,799%,93952
224.40,799%,93952
236.50,799%,94080
224.20,799%,94080
225.27,799%,93952
224.39,799%,93824
224.60,799%,93568
224.19,799%,93952
226.44,799%,94080
225.71,799%,93824
225.23,799%,93568
230.84,799%,93952
230.19,799%,93952
224.36,799%,93568
225.05,799%,93824
224.02,799%,93952
231.98,799%,93696
224.04,799%,93824
225.67,799%,93952
224.86,799%,93824
225.27,799%,93696
231.06,798%,93824
225.37,799%,93568
225.15,799%,93696
224.15,799%,93824
224.58,799%,93824
223.73,799%,93696
224.29,799%,93696
224.66,799%,93696
225.09,799%,93696
224.43,799%,93696
224.02,799%,94080
230.07,799%,93824
225.34,799%,93824
224.67,799%,93824
224.94,799%,94080
224.25,799%,93952
224.60,799%,93824
224.48,799%,93824
224.38,799%,93824
224.50,799%,93696
231.09,799%,94080
224.80,799%,93696
226.13,799%,93824
224.20,799%,93824
224.23,799%,93952
224.26,799%,93696
229.81,799%,93952
224.79,799%,93696
224.84,799%,93824
230.44,799%,93952
224.61,799%,93824
226.34,799%,93824
223.53,799%,93952
223.34,799%,93952
229.08,799%,93952
225.54,799%,93696
224.07,799%,93824
223.81,799%,93696
231.37,799%,93952
230.68,799%,93824
223.72,799%,93696
225.05,799%,93824
224.22,799%,93824
225.59,799%,93568
225.63,799%,93824
224.32,799%,93824
225.99,799%,93824
