runtime,cpu_usage,memory
6.91,175%,2210284
11.34,146%,2510244
9.61,156%,2212300
9.29,159%,2212512
7.09,175%,2210368
7.91,166%,2210292
12.61,142%,2212424
6.78,176%,2210204
6.98,175%,2210204
7.30,172%,2210156
5.96,185%,2017212
16.23,132%,2212360
10.90,149%,2212700
5.89,187%,2017036
6.01,185%,2017036
8.63,162%,2212612
6.35,181%,2016860
8.70,162%,2212688
9.12,158%,2212456
13.66,138%,2212396
6.69,178%,2016732
6.93,175%,2210252
8.84,160%,2510556
10.48,150%,2212212
7.71,167%,2210112
6.26,182%,2016992
6.98,174%,2210132
9.50,158%,2212332
6.51,179%,2017036
6.99,175%,2210360
6.83,177%,2210296
6.65,179%,2016728
12.84,141%,2212704
6.71,178%,2016800
7.07,173%,2210492
6.91,174%,2210488
6.90,175%,2210116
6.21,182%,2016952
9.47,157%,2510136
6.97,174%,2210656
6.17,182%,2016732
6.12,183%,2016988
10.57,151%,2212564
6.72,177%,2210608
6.98,174%,2210380
6.52,179%,2016732
6.25,180%,2016856
10.25,153%,2212160
6.49,179%,2016952
9.59,157%,2212464
6.14,182%,2016856
10.88,149%,2212332
11.63,145%,2212152
14.27,137%,2212400
11.26,148%,2212300
6.05,184%,2016988
7.84,167%,2212372
15.05,136%,2212332
6.28,181%,2016992
9.54,157%,2212208
6.25,181%,2016816
6.04,184%,2017120
8.98,159%,2212364
9.01,160%,2510260
6.44,180%,2016852
6.78,176%,2210368
8.14,166%,2210124
20.16,126%,2212600
20.62,126%,2212348
6.87,175%,2210484
6.28,180%,2016856
6.27,180%,2016988
7.00,174%,2210252
5.88,186%,2016856
6.23,182%,2016804
6.92,174%,2210572
6.91,175%,2210272
6.49,179%,2016956
13.82,139%,2212368
8.27,166%,2210060
18.66,129%,2212328
6.69,178%,2016904
9.98,153%,2212696
6.42,180%,2016908
13.78,139%,2510156
6.88,175%,2210120
6.97,174%,2210276
13.60,140%,2212456
7.83,167%,2210256
6.46,180%,2016956
9.28,159%,2212580
6.03,184%,2016860
6.11,183%,2016988
6.94,175%,2210204
8.71,161%,2212720
6.16,182%,2016832
7.91,166%,2210296
7.12,173%,2210020
7.01,173%,2210088
6.95,175%,2210276
