runtime,cpu_usage,memory
61.79,522%,25492
61.84,519%,25052
62.04,522%,25180
61.47,522%,25180
61.44,522%,25056
61.88,521%,25180
61.78,522%,25352
62.05,521%,25304
61.67,522%,25048
61.65,521%,25400
64.52,525%,25224
61.84,521%,24992
63.14,522%,25048
62.14,521%,25180
61.56,521%,25052
61.43,521%,25436
62.21,521%,25496
61.50,522%,25312
61.62,520%,25400
62.41,523%,25436
62.27,523%,25148
61.88,521%,25176
61.92,521%,24900
66.11,524%,25176
62.00,521%,25176
61.75,520%,25312
61.52,522%,25368
61.76,521%,25276
65.85,524%,25100
61.79,521%,25228
61.90,521%,25480
61.50,521%,25304
61.98,520%,25180
61.89,521%,25180
62.03,520%,25304
61.79,522%,25404
61.57,521%,25484
61.44,521%,25356
61.66,521%,25308
62.29,522%,25176
62.02,522%,25228
61.95,522%,25176
61.58,522%,25052
61.62,522%,25312
66.21,525%,25432
61.68,521%,25532
61.69,521%,25308
62.12,522%,25356
61.43,522%,25528
61.85,520%,25176
63.32,523%,25180
61.53,521%,25276
62.46,522%,25048
61.74,522%,25236
61.65,521%,25404
61.67,521%,25052
61.50,521%,25176
62.06,522%,25180
61.96,521%,25180
61.84,521%,25312
61.89,521%,25176
61.52,522%,25096
61.55,521%,25308
61.52,522%,25176
61.81,521%,25176
61.65,521%,25312
61.76,522%,25484
61.52,521%,25032
61.88,521%,25228
61.67,521%,25184
62.03,521%,25176
61.44,522%,25436
61.76,521%,25308
61.98,521%,25180
62.24,521%,25180
61.67,521%,25180
61.48,521%,25048
61.98,522%,25052
61.92,521%,25432
61.45,522%,25356
62.08,522%,25004
61.87,520%,25180
61.81,521%,25276
61.54,521%,25180
61.87,521%,25532
62.48,523%,25224
61.82,521%,25052
61.77,522%,25312
62.03,521%,25052
61.57,521%,25312
61.84,521%,25228
61.85,521%,25308
61.74,522%,25352
62.27,522%,25176
61.91,520%,25308
62.30,522%,25048
61.67,521%,25440
61.65,520%,25308
61.80,521%,25180
61.88,521%,25168
