runtime,cpu_usage,memory
0.79,380%,4456
0.82,400%,4260
0.79,378%,4200
0.80,379%,4200
0.81,383%,4460
0.80,415%,4204
0.82,376%,4328
0.82,385%,4200
0.83,374%,4328
0.82,383%,4200
0.82,386%,4200
0.82,398%,4328
0.81,375%,4328
0.82,373%,4204
0.81,409%,4276
0.81,373%,4456
0.83,375%,4276
0.81,397%,4460
0.82,355%,4328
0.82,374%,4332
0.83,365%,4076
0.83,386%,4328
0.82,368%,4200
0.82,358%,4200
0.83,384%,4332
0.83,384%,4328
0.82,390%,4456
0.81,399%,4200
0.84,384%,4332
0.82,391%,4328
0.81,372%,4456
0.82,359%,4204
0.83,369%,4204
0.84,383%,4328
0.91,388%,4072
0.91,372%,4328
0.92,392%,4204
0.90,375%,4148
0.91,360%,4456
0.91,372%,4328
0.91,369%,4312
0.92,379%,4328
0.91,368%,4328
0.90,369%,4328
0.90,360%,4328
0.92,363%,4204
0.91,359%,4460
0.91,356%,4328
0.91,366%,4204
0.89,376%,4152
0.91,387%,4328
0.90,375%,4200
0.91,366%,4456
0.90,358%,4328
0.91,368%,4404
0.91,362%,4072
0.89,380%,4200
0.92,363%,4328
0.90,364%,4328
0.91,401%,4332
0.87,372%,4328
0.91,368%,4328
0.90,395%,4200
0.88,373%,4332
0.90,369%,4332
0.90,366%,4328
0.90,374%,4456
0.89,376%,4328
0.89,367%,4152
0.91,373%,4200
0.91,363%,4456
0.91,373%,4328
0.91,386%,4072
0.88,379%,4328
0.91,391%,4328
0.90,386%,4204
0.90,374%,4456
0.90,374%,4328
0.90,365%,4332
0.90,359%,4332
0.89,392%,4072
0.91,364%,4328
0.88,375%,4204
0.87,389%,4332
0.89,376%,4328
0.91,363%,4328
0.90,371%,4200
0.90,359%,4276
0.90,360%,4072
0.90,389%,4096
0.89,384%,4328
0.88,376%,4096
0.92,364%,4332
0.91,382%,4328
0.90,356%,4332
0.91,377%,4152
0.90,364%,4096
0.90,363%,4136
0.87,388%,4200
0.90,382%,4328
