runtime,cpu_usage,memory
1.76,442%,135296
1.64,419%,134008
1.74,424%,133996
1.73,401%,134900
1.63,427%,133940
1.79,394%,134340
1.80,391%,134076
1.73,399%,135428
1.73,431%,135040
1.66,416%,134632
1.75,410%,134692
1.73,405%,133812
1.79,397%,134336
1.61,452%,136696
1.69,433%,135476
1.84,398%,134296
1.79,398%,135080
1.72,428%,133888
1.71,416%,134372
1.80,393%,135208
1.67,439%,134904
1.75,398%,135024
1.76,398%,134920
1.76,402%,134596
1.67,425%,135408
1.74,446%,135296
1.68,418%,134284
1.72,426%,134012
1.68,450%,135096
1.69,403%,133564
1.63,426%,134736
1.75,400%,135228
1.65,450%,135492
1.64,419%,136768
1.69,401%,134004
1.75,430%,134436
1.79,389%,134736
1.78,394%,134272
1.72,418%,134432
1.77,400%,134896
1.63,419%,136660
1.61,424%,134600
1.71,429%,134600
1.69,453%,136132
1.80,395%,135284
1.69,454%,135196
1.64,426%,135156
1.63,426%,134748
1.65,441%,135200
1.60,428%,134620
1.78,425%,134752
1.60,426%,133764
1.71,414%,134128
1.72,411%,135180
1.66,413%,136608
1.62,442%,134464
1.62,425%,134688
1.76,401%,134884
1.79,392%,134524
1.67,432%,133876
1.80,391%,135224
1.71,403%,135224
1.71,429%,134476
1.75,397%,134340
1.65,457%,135496
1.70,400%,134068
1.72,412%,134300
1.74,424%,135500
1.74,448%,135424
1.76,398%,134392
1.73,426%,135188
1.78,441%,135472
1.78,397%,135180
1.67,420%,134896
1.59,443%,133996
1.79,423%,134528
1.73,424%,134840
1.71,411%,134740
1.83,390%,134984
1.60,453%,135792
1.76,429%,134784
1.64,446%,135540
1.73,450%,134752
1.74,395%,134260
1.66,455%,134684
1.78,403%,134688
1.74,425%,134672
1.72,398%,133748
1.74,407%,134808
1.70,450%,135504
1.75,424%,134020
1.68,431%,135392
1.71,431%,134888
1.72,426%,134820
1.74,408%,134928
1.82,393%,135332
1.79,394%,134144
1.75,407%,134888
1.81,392%,134148
1.78,401%,134436
