runtime,cpu_usage,memory
0.89,129%,153892
0.88,129%,153820
0.89,129%,154100
0.89,129%,153952
0.89,129%,154608
0.90,128%,153792
0.89,129%,153896
0.89,129%,153772
0.88,131%,153756
0.89,129%,153952
0.89,129%,153772
0.89,129%,153860
0.89,129%,154060
0.89,131%,154040
0.89,129%,153804
0.89,129%,154092
0.89,129%,153748
0.89,129%,153720
0.88,129%,153824
0.89,129%,154196
0.88,129%,153760
0.89,128%,153888
0.89,129%,154268
0.88,129%,153776
0.98,126%,153744
0.89,129%,153844
0.89,129%,153840
0.89,129%,154372
0.89,129%,153924
0.89,130%,153824
0.90,128%,153876
0.88,129%,153852
0.90,128%,153776
0.89,128%,153872
0.89,129%,153836
0.89,129%,153744
0.89,129%,153792
0.89,129%,153864
0.89,129%,154280
0.89,129%,154068
0.89,131%,153956
0.89,129%,153824
0.98,125%,154244
0.89,129%,153804
0.89,129%,153856
0.89,129%,153676
0.89,129%,153792
0.88,129%,153952
0.89,128%,153680
0.89,129%,153988
0.89,129%,153776
0.89,129%,154264
0.89,129%,153756
0.89,129%,154196
0.89,129%,153644
0.89,129%,153840
0.89,129%,153976
0.89,129%,153736
0.89,129%,154060
0.88,129%,154124
0.89,129%,153656
0.89,128%,153888
0.89,130%,153824
0.89,129%,154208
0.89,129%,153884
0.89,129%,153828
0.89,129%,154208
0.89,129%,153812
0.88,129%,153688
0.89,130%,154192
0.89,129%,153860
0.89,129%,154148
0.89,129%,153888
0.89,129%,153860
0.89,128%,153924
0.89,129%,153936
0.89,128%,154564
0.89,129%,153872
0.89,130%,153816
0.89,129%,154232
0.89,130%,154468
0.89,129%,153876
0.89,129%,154100
0.89,129%,153792
0.89,129%,153824
0.89,129%,153908
0.89,129%,153844
0.89,129%,153748
0.89,131%,153888
0.89,129%,153888
0.89,128%,153892
0.89,129%,154248
0.88,129%,153768
0.89,129%,154320
0.89,129%,154280
0.89,129%,153680
0.89,129%,153792
0.88,129%,154372
0.89,130%,154568
0.89,129%,154224
