runtime,cpu_usage,memory
0.62,315%,998864
0.62,313%,998596
0.62,315%,999568
0.62,314%,998020
0.62,315%,999180
0.62,314%,998332
0.62,315%,999572
0.62,313%,999644
0.62,315%,997892
0.62,314%,998324
0.62,315%,999060
0.62,314%,999584
0.62,315%,997948
0.62,314%,998176
0.62,314%,997796
0.62,313%,999532
0.62,314%,998052
0.62,314%,998268
0.62,315%,999780
0.62,313%,999032
0.62,314%,999040
0.62,314%,997884
0.62,315%,998708
0.62,315%,999528
0.62,310%,998708
0.62,313%,999008
0.62,315%,997892
0.62,314%,998232
0.62,316%,997780
0.62,315%,998060
0.62,313%,999032
0.62,315%,999272
0.62,315%,997968
0.62,315%,999296
0.62,315%,999376
0.62,315%,999344
0.62,310%,999560
0.62,315%,997960
0.62,314%,997896
0.62,315%,998772
0.62,314%,999276
0.62,316%,998320
0.62,315%,998600
0.62,315%,998736
0.62,313%,998724
0.62,314%,998256
0.62,313%,998716
0.62,314%,999108
0.62,314%,998448
0.62,314%,998828
0.62,314%,999592
0.62,314%,997908
0.62,314%,998708
0.62,314%,999108
0.62,314%,998092
0.62,315%,999708
0.62,314%,998372
0.62,314%,998620
0.62,303%,998096
0.62,314%,998744
0.62,313%,997756
0.62,315%,998092
0.62,314%,999028
0.62,314%,998360
0.62,315%,998568
0.62,315%,999164
0.62,315%,998240
0.62,315%,998984
0.62,314%,999136
0.62,315%,999024
0.62,314%,998624
0.62,314%,997864
0.62,314%,999480
0.62,315%,999660
0.62,314%,998324
0.62,315%,999164
0.62,315%,998388
0.62,315%,998412
0.62,315%,999484
0.62,315%,999204
0.62,314%,999384
0.62,314%,998564
0.62,314%,997824
0.62,314%,998404
0.62,315%,998800
0.62,314%,998844
0.62,316%,999192
0.62,315%,999432
0.62,315%,998300
0.62,313%,999292
0.62,315%,999184
0.62,313%,999416
0.62,315%,998664
0.62,314%,999376
0.62,315%,998884
0.62,314%,998168
0.62,315%,998388
0.62,314%,998112
0.62,312%,999140
0.62,314%,999084
