runtime,cpu_usage,memory
0.17,796%,2176
0.17,794%,2176
0.17,796%,2048
0.17,796%,2176
0.17,789%,2048
0.17,796%,2176
0.17,796%,2048
0.17,793%,2176
0.17,793%,2048
0.17,796%,2048
0.17,796%,2176
0.17,796%,2176
0.17,793%,2176
0.17,796%,2048
0.17,791%,2048
0.17,793%,2176
0.17,791%,2176
0.17,795%,2176
0.17,796%,2176
0.17,796%,2176
0.17,790%,2048
0.17,792%,2048
0.17,793%,2048
0.17,794%,2176
0.17,794%,2048
0.17,795%,2048
0.17,793%,2176
0.17,796%,2176
0.17,796%,2176
0.17,793%,2176
0.17,794%,2176
0.17,795%,2176
0.17,793%,2176
0.18,793%,2176
0.18,794%,2176
0.18,796%,2048
0.18,793%,2048
0.18,793%,2176
0.18,794%,2176
0.18,785%,2048
0.18,798%,2176
0.18,793%,2048
0.18,798%,2048
0.18,793%,2176
0.18,793%,2048
0.18,793%,2048
0.18,792%,2176
0.18,795%,2176
0.18,792%,2176
0.18,794%,2176
0.18,795%,2176
0.18,795%,2176
0.18,794%,2048
0.18,795%,2048
0.18,793%,2176
0.18,795%,2048
0.18,796%,2048
0.18,793%,2048
0.18,794%,2048
0.18,796%,2176
0.18,795%,2176
0.18,796%,2048
0.18,796%,2176
0.18,796%,2176
0.18,796%,2048
0.18,796%,2176
0.18,794%,2048
0.18,796%,2048
0.18,796%,2176
0.18,795%,2176
0.18,790%,2048
0.18,797%,2048
0.18,796%,2048
0.18,791%,2176
0.18,792%,2048
0.18,796%,2176
0.18,797%,2048
0.18,796%,2048
0.18,795%,2048
0.18,797%,2048
0.18,797%,2048
0.18,791%,2048
0.18,797%,2176
0.18,797%,2176
0.18,796%,2176
0.18,793%,2048
0.18,792%,2176
0.18,793%,2176
0.18,792%,2176
0.18,792%,2048
0.18,796%,2176
0.18,791%,2048
0.18,796%,2176
0.18,795%,2176
0.18,790%,2176
0.18,797%,2048
0.18,792%,2176
0.26,793%,2176
0.38,794%,2048
0.38,794%,2176
