runtime,cpu_usage,memory
12.04,559%,735744
12.74,558%,735744
11.85,555%,735488
11.80,567%,735616
12.00,582%,735616
12.02,572%,735488
12.14,573%,735488
11.99,571%,735744
12.03,569%,735744
12.08,582%,735488
11.99,578%,735616
12.01,567%,735360
12.12,569%,735744
14.59,535%,735744
11.27,559%,735488
14.85,534%,735232
14.49,512%,735488
13.48,544%,735488
13.16,568%,736000
14.38,534%,735616
11.31,555%,735360
14.81,542%,735872
11.31,563%,735744
12.02,571%,735616
12.00,570%,735616
12.08,571%,735488
12.04,570%,735872
14.72,542%,734848
14.37,511%,735616
12.86,563%,736128
13.52,569%,735488
14.55,516%,735872
14.11,520%,735872
12.41,587%,735104
14.33,545%,736000
14.49,512%,735360
13.21,561%,735616
13.64,566%,735360
11.51,557%,735744
12.01,576%,735488
12.13,573%,735616
12.09,586%,735744
14.88,540%,735488
14.32,518%,735744
13.00,558%,735872
13.57,586%,736128
11.27,556%,735744
14.84,550%,735744
14.59,508%,736000
12.96,569%,735616
13.76,578%,735616
14.40,523%,735616
14.29,514%,736000
12.16,592%,735360
14.43,565%,735360
14.38,518%,735872
12.90,571%,735616
13.77,569%,736000
11.59,561%,735360
11.81,580%,735872
14.86,544%,735360
11.20,560%,735744
12.09,572%,735744
12.12,583%,735360
12.26,564%,735488
14.92,539%,735616
11.39,567%,735360
12.35,588%,735360
11.89,580%,735616
12.17,584%,735872
14.98,543%,736256
14.50,509%,736000
13.10,553%,735872
13.27,591%,735744
11.33,571%,735616
12.25,575%,735872
12.11,580%,735488
14.91,549%,735744
14.39,509%,735232
12.79,562%,735872
13.70,585%,735488
14.55,527%,735616
13.79,545%,735488
13.36,575%,736000
11.54,549%,735232
12.39,581%,735744
14.86,535%,736000
11.89,551%,735616
14.85,545%,734208
11.29,557%,735616
11.91,587%,735616
12.17,568%,735360
11.96,582%,735744
12.56,576%,735744
12.14,570%,735744
14.72,554%,735616
11.31,561%,735872
12.37,574%,736000
14.44,566%,736256
14.53,514%,735488
