runtime,cpu_usage,memory
1.04,342%,28680
1.04,344%,28680
1.04,342%,28680
1.04,343%,28296
1.04,347%,28808
1.04,347%,28552
1.04,346%,28680
1.04,343%,29064
1.04,339%,28296
1.04,346%,28680
1.04,344%,28296
1.04,346%,28552
1.04,342%,28680
1.05,343%,28040
1.05,341%,28552
2.47,344%,28304
1.87,344%,28808
1.05,337%,28296
1.04,347%,28552
1.04,346%,28680
1.04,343%,28424
2.53,344%,28680
1.78,345%,28168
1.04,343%,28552
1.05,341%,28552
1.05,342%,28296
1.04,349%,28680
1.04,346%,28552
1.05,346%,28424
1.62,340%,28296
2.52,347%,28680
1.13,347%,28168
1.05,340%,28808
1.05,339%,28680
1.09,340%,28552
1.99,341%,28680
2.42,350%,28808
1.04,345%,28552
1.04,346%,28808
1.04,347%,28808
1.05,343%,28168
2.04,340%,28808
2.29,348%,28168
1.04,345%,28040
1.05,339%,28296
1.04,345%,28680
1.05,352%,28936
2.18,335%,28808
2.15,340%,28680
1.04,349%,28600
1.05,347%,28808
1.05,340%,28808
1.05,341%,28296
1.06,348%,28680
1.20,339%,28552
1.21,345%,28552
1.18,343%,28552
1.19,347%,28808
1.18,343%,28808
1.19,347%,28680
1.19,339%,29064
1.18,344%,28852
1.19,339%,28936
1.18,345%,28552
1.19,344%,28808
1.18,341%,28936
1.19,342%,28040
1.19,342%,28680
1.19,342%,28552
1.18,347%,28424
1.19,340%,28296
1.19,345%,28680
1.18,344%,28552
1.18,347%,28296
1.19,340%,28936
1.18,346%,28680
1.18,343%,28756
1.19,343%,28808
1.18,345%,28300
1.18,346%,28296
1.19,338%,28424
1.19,342%,28808
1.18,346%,28680
1.18,345%,28552
1.19,333%,28552
1.19,341%,28168
1.19,338%,28808
1.18,343%,28296
1.18,340%,28680
1.18,349%,28680
1.18,348%,28680
1.18,345%,28680
1.18,346%,28808
1.18,346%,28680
1.18,344%,28680
1.19,339%,28936
1.18,339%,28936
1.19,346%,28296
1.19,341%,28296
1.19,335%,28424
