runtime,cpu_usage,memory
3.30,706%,42752
3.29,706%,42752
3.30,706%,42624
5.68,745%,42752
3.36,707%,42752
5.69,745%,42624
4.30,619%,42496
4.70,732%,42752
5.72,697%,42752
3.38,708%,42624
5.67,745%,42752
4.61,632%,42880
4.37,727%,42752
5.69,740%,42752
3.39,705%,42752
5.69,744%,42624
5.16,650%,42880
3.92,718%,42880
4.01,713%,43008
4.18,702%,42880
4.06,715%,42880
4.09,716%,42880
4.08,715%,42752
4.11,715%,42880
4.08,715%,42880
4.06,715%,42624
4.08,716%,42624
4.09,716%,42880
4.07,715%,42880
4.08,715%,42880
4.10,715%,42880
4.08,716%,42752
4.09,716%,42880
4.11,716%,43008
4.10,715%,43008
4.07,715%,42624
4.08,716%,42880
4.08,715%,42880
4.09,716%,42752
4.08,715%,42752
4.08,716%,42752
4.07,715%,42880
4.10,715%,42752
4.07,716%,42752
4.09,716%,42880
4.11,716%,42752
4.07,716%,42880
4.08,716%,42880
4.10,716%,42752
4.08,716%,42880
4.08,715%,42880
4.09,716%,42880
4.10,716%,42752
4.09,715%,42880
4.08,715%,42880
4.11,716%,42880
4.08,715%,42752
4.09,715%,42880
4.08,716%,42880
4.08,715%,42624
4.08,716%,42752
4.09,716%,43008
4.10,716%,42752
4.09,715%,43008
4.08,716%,42880
4.07,716%,42880
4.08,715%,42880
4.10,715%,42880
4.08,716%,42880
4.09,716%,42752
4.10,715%,42880
4.10,715%,42880
4.10,715%,42880
4.08,715%,42752
4.08,716%,42880
4.08,715%,42624
4.11,716%,42880
4.09,715%,42880
4.09,716%,42880
4.10,716%,42752
4.10,715%,42880
4.09,716%,42752
4.09,716%,42880
4.10,715%,42880
4.10,716%,42880
4.10,715%,42752
4.10,715%,42752
4.09,715%,42880
4.09,716%,42752
4.08,715%,42880
4.10,716%,42880
4.09,716%,42880
4.08,716%,42880
4.07,715%,42752
4.10,715%,42880
4.11,716%,42880
4.09,716%,42752
4.12,715%,42880
4.07,716%,42880
4.10,715%,42880
