runtime,cpu_usage,memory
3.32,100%,7808
3.32,100%,7680
3.32,100%,8064
3.32,100%,7936
3.32,100%,8064
3.32,100%,7808
5.77,100%,7552
3.57,100%,7936
3.32,100%,7936
3.32,100%,7680
5.77,100%,7808
3.32,100%,7680
3.32,99%,7680
5.77,100%,7808
3.32,100%,7808
3.32,100%,8064
5.77,100%,7680
3.32,100%,7808
3.32,100%,7936
3.32,100%,8064
3.32,100%,7552
5.77,100%,7936
3.32,99%,7808
3.43,100%,7808
3.43,100%,7808
3.32,100%,7808
3.32,100%,7936
5.77,99%,7808
3.32,100%,7424
3.32,99%,7808
3.32,100%,7680
3.33,100%,8064
3.32,99%,8064
5.77,100%,7808
3.32,99%,7680
3.32,100%,7552
3.32,100%,7808
5.92,100%,7808
3.32,100%,7808
3.32,100%,7680
3.32,100%,7808
3.32,99%,7808
3.71,100%,7808
5.77,100%,7936
3.32,100%,7808
3.32,100%,7808
5.76,100%,7680
3.32,100%,7680
3.32,100%,8064
3.32,100%,7808
3.61,100%,7936
3.32,100%,7808
5.77,100%,7936
3.32,100%,7680
4.49,99%,7808
4.49,99%,7808
3.32,100%,8064
5.82,100%,7936
3.32,100%,7680
3.34,100%,7552
5.76,100%,7552
3.32,100%,7808
3.33,100%,7808
5.76,100%,7680
3.34,100%,7552
3.32,100%,7808
5.76,100%,7936
3.37,100%,7936
5.76,100%,7552
3.32,100%,7936
3.32,100%,7808
5.77,99%,7680
3.51,100%,7808
3.32,100%,7808
5.77,100%,7808
3.32,100%,7680
3.32,99%,7552
5.87,100%,7552
3.32,99%,7808
5.77,100%,7552
3.32,100%,7808
3.32,100%,7552
5.77,100%,7808
3.32,100%,7808
3.32,100%,7808
5.55,100%,7808
3.44,100%,7808
3.32,100%,7808
3.33,100%,7808
5.77,99%,7552
3.32,100%,7808
3.32,100%,7808
3.32,100%,7808
3.32,99%,7552
6.12,100%,7808
3.32,100%,7808
3.99,100%,7552
4.98,100%,7936
3.32,100%,7936
3.38,100%,7680
