runtime,cpu_usage,memory
23.33,99%,689320
23.39,99%,689320
23.70,99%,689236
23.33,99%,689180
23.32,99%,689132
23.34,99%,689244
23.31,99%,689288
23.45,99%,689260
23.36,99%,689108
23.35,99%,689180
23.41,99%,689208
23.44,99%,689320
23.85,99%,689312
23.34,99%,689340
23.32,99%,689144
23.35,99%,689176
23.32,99%,689272
23.32,99%,689212
23.39,99%,689320
23.38,99%,689328
23.45,99%,689308
23.34,99%,689204
23.43,99%,689200
23.34,99%,689376
23.37,99%,689236
23.38,99%,689380
23.39,99%,689320
23.39,99%,689212
23.34,99%,689344
23.33,99%,689204
23.77,99%,689292
23.31,99%,689308
23.33,99%,689364
23.71,99%,689108
23.76,99%,689272
23.38,99%,689024
23.35,99%,689168
23.36,99%,689320
23.32,99%,689376
23.36,99%,689180
23.37,99%,689088
23.81,99%,689184
23.32,99%,689320
23.37,99%,689340
23.36,99%,689232
23.34,99%,689320
23.34,99%,689116
23.57,99%,689084
23.36,99%,689212
23.80,99%,689176
23.37,99%,689344
23.35,99%,689396
23.44,99%,689336
23.35,99%,689008
23.33,99%,689168
23.76,99%,689016
23.37,99%,689396
23.37,99%,689340
23.35,99%,689328
23.35,99%,689312
23.36,99%,689156
23.35,99%,689132
23.34,99%,689160
23.30,99%,689356
23.33,99%,688992
23.32,99%,689368
23.34,99%,689304
23.35,99%,689112
23.30,99%,689372
23.36,99%,689200
23.31,99%,689316
23.38,99%,689168
23.36,99%,689292
23.32,99%,689136
23.35,99%,689212
23.41,99%,689312
23.76,99%,689396
23.38,99%,689084
23.36,99%,689324
23.44,99%,689236
23.35,99%,689344
23.38,99%,689396
23.33,99%,689344
23.35,99%,689288
23.40,99%,689228
23.33,99%,689328
23.34,99%,689340
23.34,99%,689164
23.37,99%,689280
23.35,99%,689212
23.32,99%,689168
23.32,99%,689268
23.36,99%,689316
23.39,99%,689100
23.33,99%,689216
23.75,99%,689204
23.38,99%,689264
23.41,99%,689324
23.38,99%,689324
23.35,99%,689104
