runtime,cpu_usage,memory
1.23,127%,796328
1.23,127%,796108
1.23,127%,795812
1.22,127%,796200
1.23,127%,795816
1.23,127%,795844
1.23,127%,796324
1.24,127%,796248
1.23,127%,796328
1.23,127%,796324
1.24,127%,796304
1.24,127%,796456
1.25,127%,796268
1.24,127%,796456
1.25,127%,795816
1.23,127%,796456
1.23,127%,796068
1.25,127%,795860
1.24,127%,795812
1.23,127%,796328
1.23,127%,796328
1.26,127%,796328
2.85,129%,796336
1.89,130%,796336
1.23,127%,795816
1.23,127%,796068
1.24,127%,796104
1.24,127%,795816
1.24,127%,796196
1.23,127%,796068
2.64,127%,796456
2.08,137%,795824
1.23,127%,796196
1.24,127%,796328
1.23,127%,796168
1.27,128%,796300
1.28,131%,795688
1.28,131%,796324
1.28,131%,796328
1.29,129%,796324
1.29,130%,796328
1.29,129%,796196
1.29,130%,796456
1.28,131%,796284
1.24,127%,795600
1.24,127%,796456
1.29,130%,795816
1.29,129%,796200
1.27,131%,796068
1.27,131%,796072
1.27,131%,795816
1.29,129%,796312
1.29,129%,796248
1.29,130%,795800
1.27,131%,796328
1.27,131%,796452
1.30,129%,796328
1.27,131%,796272
1.29,129%,796328
1.28,131%,796328
1.27,131%,796328
1.27,131%,796456
1.29,129%,796256
1.27,131%,796328
1.28,131%,796328
1.27,131%,796060
1.25,128%,796324
1.23,127%,795816
1.30,129%,795860
1.27,131%,796104
1.27,131%,796156
1.28,129%,796316
1.23,127%,796324
1.25,128%,796460
1.27,131%,796068
1.27,131%,796004
1.30,129%,796180
1.28,131%,796456
1.28,131%,796456
1.28,131%,796328
1.27,131%,796324
1.27,131%,795816
1.29,130%,796328
1.27,131%,796200
1.27,131%,796072
1.28,131%,796328
1.29,130%,796332
1.29,130%,796324
1.29,129%,796392
1.29,130%,795684
1.28,131%,796324
1.28,128%,796328
1.23,127%,796072
1.24,127%,796328
1.25,128%,796080
1.28,131%,796004
1.29,130%,796412
1.29,130%,796072
1.27,131%,796072
1.28,131%,796280
